"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Mob1a",703.1495,730.1901,725.1171,710.0841,706.248,700.7479
"Gars",769.682,690.1438,745.8755,645.5813,626.4462,702.9819
"Egln1",390.7683,345.7368,434.0052,337.1184,294.8451,339.3695
"Hmces",424.0803,382.6372,404.2717,379.0887,359.4819,396.0467
"Nup133",874.7478,740.4946,740.0479,726.985,797.7116,766.371
"BC005624",439.9756,436.5239,435.5397,476.822,465.6166,465.817
"Atg13",144.1568,166.2224,165.2124,196.0785,177.1526,201.0926
"Eif1",1645.261,1568.995,1566.442,1533.703,1626.499,1616.454
"Dars",774.5143,744.4253,710.9037,756.7228,774.2474,732.6909
"Camkv",37.03787,31.35491,38.18948,24.21496,17.26744,24.28979
"Nop53",763.1542,774.0493,728.1836,775.268,787.2076,755.9834
"Idi1",453.5292,525.3127,417.2538,517.1186,508.6272,612.8039
"Ints4",661.4205,686.5374,649.4238,616.6032,662.5992,705.4729
"Wrap53",91.59185,117.1934,90.61986,87.83748,97.31312,91.60986
"Tcf19",164.8703,165.8211,192.2744,125.0982,127.5649,138.4784
"Ppme1",135.7462,140.7376,140.5711,156.1803,163.608,140.3686
"Vopp1",92.08736,91.28758,100.1798,90.66941,79.17569,87.79313
"Ddx41",248.2793,251.1233,253.5735,258.1198,246.1501,257.4058
"Ddx56",181.847,176.3011,182.3339,189.3794,168.9698,185.6506
"Arl6ip1",1335.723,1298.604,1278.241,1338.866,1430.01,1292.111
"Elof1",793.1291,774.0953,719.856,949.0909,883.9609,907.6398
"Tmem168",412.3134,435.7666,355.094,386.4127,411.5152,391.5917
"Mrto4",637.0876,656.8288,612.2687,714.2693,765.6526,659.4439
"Wls",76.93748,76.11038,82.12711,69.09432,58.78088,71.1928
"Fasn",447.4635,442.4901,467.3957,354.9968,363.9077,410.4632
"Fam49b",340.9921,364.8569,343.7765,342.0706,357.1,310.4141
"Mpc2",1415.025,1447.442,1298.29,1446.576,1497.358,1452.342
"Gga1",127.1519,133.099,110.2339,142.8967,143.0411,154.6333
"Zfp503",33.70723,32.40596,38.49421,31.7593,19.88452,27.5934
"Ist1",700.7927,685.0957,708.7978,699.5737,722.9953,726.1819
"Lrrc61",339.0571,357.9557,327.5723,357.6469,320.6777,398.7013
"Tuba1b",1181.379,1199.312,1254.122,1147.219,1123.073,1168.768
"Ncapd2",366.7689,326.9356,362.524,373.024,331.7075,381.556
"Mphosph6",202.9449,186.1517,205.3929,162.7689,165.6907,175.213
"Clk3",393.1552,372.9439,384.0533,389.1992,386.4937,407.2223
"Nsun2",459.5817,427.1295,438.255,497.7432,488.1526,542.4825
"Shisa2",101.2643,83.20634,108.1711,129.3956,84.55236,90.67265
"Lamp5",11.08114,8.757502,5.65886,11.71697,10.23731,10.33552
"Rasl11b",170.9536,191.4477,205.11,143.878,147.0204,154.1322
"Mrpl30",1039.138,940.8939,1056.135,992.351,999.282,972.9645
"Hmgcs2",375.2954,528.3365,708.8602,356.9569,350.0647,368.5044
"Ptgds",344.4392,295.0788,503.5453,323.4188,195.8262,352.3987
"Plekhf2",327.0733,336.6218,301.1006,404.4414,340.2429,378.9464
"Abcf2",196.322,183.8714,190.8142,222.1686,224.8053,188.2383
"Nrbp1",194.8922,182.0649,208.1731,182.5252,169.1342,190.5305
"Serpina3k",5.234948,7.411069,5.625336,3.650651,7.694819,6.107692
"Aida",377.7286,403.6708,374.5176,358.0381,388.1197,368.2295
"Tmem63a",125.226,115.4911,150.3793,96.74849,74.30695,111.8089
"Lsm1",315.584,331.6491,367.508,324.8119,355.8094,323.1782
"Fam160b1",128.929,144.1699,127.8598,148.8321,177.9561,115.7746
"Chaf1b",65.50796,99.35712,131.6507,81.1916,98.85355,123.1732
"Gypc",102.277,114.4086,122.2254,95.39309,76.78559,94.68951
"Ppp6r3",524.1606,499.3533,525.7772,524.2994,495.6353,487.699
"Rfwd3",861.2858,843.5566,859.0322,765.0216,723.2807,793.21
"Acsl1",394.1038,380.4604,419.3009,405.9308,336.3709,420.8059
"Utp4",466.0559,491.5616,482.5304,435.2412,454.7878,478.8793
"Lamc1",229.8262,239.7328,265.0995,211.5804,230.8835,210.3932
"Telo2",113.9848,114.8064,125.5896,99.22075,86.41376,107.6361
"Gm5617",479.1122,407.7148,429.5652,570.5927,514.5901,533.4
"Atp1b1",942.63,890.6526,953.2482,880.9735,883.6004,855.9474
"Gstt3",204.0832,196.5349,141.5348,226.8855,256.5588,216.3217
"Apbb1",37.48579,38.12605,40.08313,34.05373,39.41888,39.61803
"Dalrd3",311.9219,299.8416,265.2222,345.1363,320.4229,352.8806
"Celf2",1023.788,1077.814,1118.233,922.0274,908.715,914.3428
"Rnf187",1312.027,1243.738,1211.345,1251.778,1352.327,1232.666
"Trip12",1488.566,1347.166,1346.818,1414.793,1519.478,1482.453
"Arhgef12",838.0391,855.1771,859.4224,770.6068,820.73,781.8923
"Tmem176a",175.3425,212.3076,351.9299,185.0756,162.967,217.7149
"Agap3",158.9329,144.5614,179.6682,146.2674,133.6531,150.4488
"Ppp2r5a",252.5882,292.407,348.8639,269.1435,256.7685,269.4232
"Aspscr1",377.6919,367.5228,343.9099,447.4991,417.1843,442.3551
"Hectd3",137.5928,129.4214,154.8654,115.6601,114.664,132.8954
"Hid1",17.43214,20.37485,20.06687,12.62495,13.71562,12.66277
"Olfml2b",243.3841,217.653,253.1934,170.9106,158.0423,187.0664
"Mlf2",220.3335,245.6216,238.353,211.2288,202.4707,207.4666
"Rhbdd1",184.3187,196.3393,189.5198,221.9545,225.0292,226.7834
"Haus3",777.9903,690.1375,698.6924,699.8864,737.8717,688.1677
"Ints3",250.1035,223.7328,284.656,189.1521,156.3132,224.2654
"Wrap73",232.2946,227.1437,269.3762,237.5268,237.3457,248.304
"Tspan14",186.1986,170.4641,216.8716,153.4508,133.5336,169.8154
"Dhx16",676.1367,705.5908,596.1733,660.5691,671.3912,727.2148
"Slc39a13",79.47959,82.81915,99.39445,95.10535,77.84531,99.93137
"Slc35b2",108.5011,133.092,165.3475,104.713,76.80133,107.5666
"Ubac2",813.8001,869.7599,871.3253,834.24,917.8497,815.5203
"Anapc4",956.0865,1029.667,930.7009,973.9755,993.6357,977.7524
"Plet1",8.322919,6.737131,11.29094,13.62358,9.346271,9.690804
"Krt14",7.568163,1.58065,9.896787,15.22529,6.169325,12.2981
"Kctd5",152.3684,159.7561,176.2946,161.8785,151.7089,147.3603
"Llgl2",36.33556,31.25546,36.53426,32.09215,31.49011,34.67116
"Yif1a",575.9642,631.0362,601.4764,596.2564,636.6613,627.1696
"Camk2g",270.3889,259.0724,267.7257,254.9109,216.3498,284.3384
"Dus1l",627.6957,585.0347,524.6492,603.9545,557.5679,584.175
"Hpx",7.14588,7.066833,8.422205,5.737539,2.412158,6.700935
"Pdlim2",54.92828,53.71526,90.23669,61.75394,44.51568,53.69143
"Bag2",164.5111,134.4192,148.9397,117.6179,94.45883,136.7256
"Ube2z",495.899,489.5514,542.9597,450.1405,461.1439,506.0586
"Kcnab3",47.82552,38.79485,42.46037,26.8497,24.38448,28.16081
"Tm2d3",348.0141,333.1866,366.9507,330.2487,330.3285,310.5969
"Krt7",6.318894,13.40319,19.28375,14.35407,9.96344,14.36189
"Cdkal1",564.2454,533.2078,584.1136,578.316,597.3587,548.957
"C3",88.74471,81.28127,131.1629,96.24991,56.28752,81.24711
"Cers2",258.2248,277.5244,325.1331,234.85,213.6114,243.3746
"Smap1",755.7723,783.0623,755.4899,826.2049,833.4386,836.394
"Aen",710.1005,647.7618,713.3172,612.1331,612.3423,600.4193
"Ttc33",394.2795,357.111,375.6304,391.9351,354.0027,359.4346
"Ropn1l",1272.685,1197.979,1127.361,1267.915,1382.117,1285.932
"Lpcat3",468.1262,447.3151,438.262,590.0828,568.5212,586.9526
"Wdr26",328.5948,357.493,307.0993,366.8953,383.0835,357.4663
"Ints11",230.4478,231.8965,242.9052,246.9041,228.6953,229.2002
"Cd99l2",138.3592,143.7281,195.2357,127.2458,94.92773,123.0117
"Palm",75.28544,78.68777,82.82847,65.83629,53.17097,75.76398
"Ugt3a2",2.935407,5.521441,14.14758,0.3578574,0.5502831,1.237468
"Nup37",529.9633,483.277,464.2306,556.7028,560.7722,531.2672
"Thoc3",528.3693,463.6046,541.9861,516.5546,496.5421,469.9972
"Etfa",627.4821,631.8577,686.0375,605.4059,604.5093,632.697
"Numa1",796.6148,704.1217,717.1421,683.4877,775.7643,731.9009
"4930453N24Rik",1150.976,1096.076,973.3184,1250.633,1227.173,1313.475
"Sbk1",96.51416,96.11962,100.5855,88.28472,105.9797,96.40458
"Meis3",13.6907,17.98395,19.88141,21.01291,14.24216,14.89007
"Cdc26",343.5585,348.7409,350.3474,332.1908,343.0124,289.4724
"Tecpr1",85.87493,92.66032,97.59703,85.97417,94.20423,105.489
"Rab28",717.2415,737.8101,668.017,722.5958,775.9612,737.8776
"Nop14",413.3034,411.1695,459.914,444.8958,428.9373,439.576
"Gatad2a",1174.102,1160.994,1204.653,1146.774,1174.129,1110.837
"Atp6v1f",584.2416,563.3838,568.7655,593.0587,571.4473,567.9022
"Csde1",1020.801,985.1541,945.401,1015.676,1105.807,980.6769
"Gtf3c5",89.22512,85.14317,75.47786,89.31454,74.40087,102.7682
"Abl1",163.4584,193.3421,195.3612,183.2638,166.7119,200.6313
"Rps11",1389.893,1353.608,1382.626,1313.034,1364.843,1329.007
"Nifk",257.2981,268.2054,264.6285,260.0549,242.9524,231.6943
"Pdcl3",289.5609,270.9699,292.983,246.0676,207.7417,234.3336
"Pomk",126.7119,121.5065,143.6074,116.9203,114.4403,125.6711
"B230219D22Rik",633.2291,626.7597,685.2574,566.6767,587.615,600.8926
"Aarsd1",98.4315,97.53123,102.6301,107.8519,113.839,97.38731
"Gdf10",15.39514,14.98141,25.09591,26.05367,9.224463,14.16411
"Rbpms2",309.5595,345.0568,311.4549,338.3854,309.3855,390.3548
"Reg3d",1.014205,5.080558,4.765772,6.064536,5.203685,2.670634
"Mfap4",436.0074,481.8317,562.4498,388.4019,344.5218,375.7905
"Aqp9",584.064,531.6075,456.5032,653.66,644.8947,660.9461
"Ttc30a1",375.0383,395.22,275.1163,405.9067,432.6335,454.8365
"Etf1",516.31,506.9287,550.0809,533.5403,496.6425,504.0894
"Dennd5a",666.9865,670.1231,661.6993,624.4666,625.2585,670.8527
"Hint1",1460.762,1320.706,1337.804,1368.856,1392.535,1411.227
"Nop2",348.5095,311.3229,345.8653,306.0402,290.2469,318.0286
"Arl6ip6",642.4781,694.8956,571.2792,628.101,689.6436,651.067
"Osgin1",70.8271,77.33163,134.2065,83.38254,50.79912,87.21182
"Ctu1",46.81512,60.92298,75.88192,57.50943,41.8951,51.44187
"Mcfd2",530.095,491.6757,537.5521,422.766,468.0034,500.052
"Ginm1",339.1739,313.3003,340.9512,352.2101,317.9519,338.2206
"Chtf8",130.9769,142.2847,144.4369,139.1613,125.8037,140.9843
"Tspyl4",428.733,473.5717,301.9829,433.8704,466.4166,505.5691
"Grhl1",216.3697,235.9403,175.3741,225.0305,255.8934,234.8591
"Snx11",40.96242,45.84132,42.87618,47.16534,37.10342,50.52574
"Hvcn1",29.00702,32.3455,50.1134,29.54617,18.04843,30.58522
"Rora",50.12412,58.76366,80.56996,61.86074,56.82013,56.09912
"Itpka",49.33448,47.90792,68.38317,42.34967,36.63459,53.5546
"Emc10",333.1724,326.7081,385.8007,344.5839,297.3915,379.0694
"Saraf",1022.738,1002.059,1043.813,992.4829,972.8868,1023.684
"Map7d1",200.8354,193.7367,227.8486,187.5689,158.7438,189.3698
"C1s1",354.3123,349.3099,435.8438,294.8604,280.0023,319.1194
"Rxylt1",277.6451,272.7135,269.8948,256.892,229.682,272.9424
"Ppil4",762.2805,802.8153,751.0894,794.3392,849.936,775.7222
"Kdm4b",131.2793,153.8794,151.8063,118.1632,115.7939,125.8024
"Tmem242",91.20716,103.7625,88.3361,135.7596,104.6429,122.3889
"Bub1",737.3146,756.5577,681.7969,740.129,774.3575,802.8515
"Dera",147.3561,148.7303,206.6533,162.3157,141.0654,150.6664
"Cyb5r1",684.2122,609.444,720.6277,556.6928,530.6358,588.9756
"Lrrc42",488.0133,540.627,534.4585,470.3711,529.5377,473.2138
"Fgfr1",108.4816,111.5467,131.198,96.13113,70.57421,94.85867
"Col4a2",792.7915,761.7173,860.9792,609.2089,592.9063,735.1083
"Thap4",639.3455,625.3257,612.8607,705.2439,691.9543,751.7908
"Btbd2",104.8354,121.7404,135.5309,122.7062,110.2553,137.2658
"Ncoa5",525.5165,561.3292,463.5927,552.8477,569.3079,542.7002
"Usp48",808.355,767.5117,750.6045,710.1851,683.0018,716.5109
"Gdap2",374.7575,363.0542,350.905,390.3427,411.7914,394.8278
"Prrc1",119.915,117.1401,113.035,135.9537,129.3396,127.2683
"Kmt5c",119.0815,145.7976,145.8218,107.349,101.1826,126.9739
"Neil3",199.0766,215.5253,242.906,330.8835,320.0636,268.1662
"Manbal",39.49097,44.78151,54.98332,63.29995,50.88319,50.44001
"Ube2d1",143.5443,130.0931,200.7116,135.5434,108.0805,147.0251
"Scgb1b27",6.995558,9.071392,9.685148,7.730274,4.275167,4.344309
"Rab1b",199.9223,224.5516,234.7057,236.1133,227.9853,234.7485
"Dus3l",165.3203,170.8631,182.6608,161.5431,154.769,170.8175
"Icam1",60.61538,78.83022,101.8367,66.96378,67.08177,70.86835
"Napg",636.3784,660.8193,637.0179,657.7317,643.5822,646.4884
"Ice1",478.0954,503.6884,496.1969,439.8097,425.3696,465.8666
"Fam241b",192.4272,189.5465,213.5521,164.3745,115.95,153.2327
"Babam1",365.9854,394.8713,356.6654,380.8157,358.1378,403.0693
"Maip1",573.4762,523.5963,575.7722,578.579,549.1385,538.1835
"Gdpd1",812.3156,761.9047,729.345,905.0084,894.9533,854.4714
"Dcps",246.283,275.2741,248.1306,255.7817,248.972,227.9182
"Pcgf6",673.9221,688.0497,602.2558,765.3333,785.4783,720.8849
"Tbc1d13",115.3494,107.4552,113.0179,119.5814,92.92052,115.4569
"Ndufa4",572.34,613.2148,640.1395,572.8239,557.5369,529.7918
"Oaf",23.07482,19.54199,41.56705,15.20271,10.93939,18.79363
"Psmg3",286.7131,315.4259,360.5881,332.5721,309.1929,303.7553
"Myg1",159.7557,158.2602,160.3339,160.5584,158.8892,162.1041
"Sdcbp2",28.86817,42.64611,33.10796,45.09462,51.50806,51.72012
"Zfp868",106.0488,102.6528,104.855,109.4905,106.1463,115.3511
"Epb41",238.3448,195.8264,266.5908,218.9785,209.7163,211.1648
"Nek9",514.5043,502.1484,549.0086,524.0731,553.9814,533.0683
"Rtca",618.0689,579.3176,555.6165,642.5042,580.0807,648.2725
"Krt5",2.751995,10.41242,3.712647,19.90951,9.410776,10.00408
"Elovl7",30.82171,30.46559,30.06164,30.40138,27.64397,24.04057
"Gpx8",172.7911,216.2249,280.706,218.4407,159.4633,182.6935
"Cend1",22.44712,22.34671,18.18885,16.14642,15.34435,15.29725
"Hnrnpl",255.475,290.3372,249.3854,262.9616,281.3897,225.7355
"Atg4b",244.2479,215.4801,241.4393,264.115,229.5603,253.3048
"Syf2",322.9001,359.4973,349.7011,333.9142,324.8982,343.3252
"Jkamp",251.5287,234.0643,267.693,209.4431,181.3806,237.1404
"Kif18a",253.8693,254.901,240.7094,296.5362,275.6041,288.4764
"Nme1",567.46,591.1419,610.3367,561.6818,540.382,535.1797
"Igf2r",300.4653,317.3932,282.6578,266.279,297.4835,315.8126
"Lamb1",545.9427,526.2354,607.2705,437.6303,409.8171,482.3053
"Ppp5c",184.6388,189.1017,171.9877,201.6488,210.1172,168.6214
"Spc25",477.6197,376.2123,424.2172,539.9028,424.8478,508.0092
"Prkab1",196.172,186.2581,239.6007,198.1933,158.4482,206.3666
"Rnf8",476.6542,449.2834,438.818,419.2896,427.3298,443.0159
"Commd1",849.3202,870.3155,786.4841,965.2363,990.575,904.3644
"Flvcr2",457.5604,398.0529,498.0341,412.0307,338.101,429.7191
"Mospd2",207.1568,209.8713,206.2023,179.538,159.8543,183.851
"Kcnk13",59.97794,64.89761,75.5385,39.2837,35.32721,50.12724
"Alas1",376.8524,374.6818,599.4394,415.4894,418.1404,429.6453
"Eya2",7.981194,5.851388,11.82084,11.50823,10.77279,6.827226
"Cavin1",271.6857,268.4583,319.1547,240.9286,212.2372,229.8204
"Col6a3",187.9489,346.6373,470.142,300.0442,208.0181,286.5009
"Tmem98",157.0355,150.1088,162.8419,189.0777,146.4899,151.1727
"Rspry1",757.9888,774.5447,729.0765,756.1873,807.3886,701.8633
"Ppih",550.7164,548.2617,549.0441,561.5965,611.3126,521.147
"Rhbdf1",100.1492,85.09152,123.1253,79.35986,53.76468,82.10144
"Rap1a",471.7944,453.7103,473.1234,412.7463,356.4239,443.1087
"Gale",29.09985,30.63475,39.89389,33.01899,27.95783,29.26892
"Hectd1",740.3593,748.9351,708.5547,713.6161,768.0397,747.9783
"Cdt1",503.4869,422.3,496.0119,398.3644,341.0213,455.8563
"Prr3",516.1937,484.0078,542.636,484.1551,478.4952,467.1794
"Gpr37l1",1.613364,2.734805,3.320145,4.615814,5.39705,2.909854
"Ahsa1",567.5451,576.136,575.505,539.1164,488.6772,548.7611
"Nsmce2",563.6046,544.2658,527.3857,560.2312,596.1671,495.2207
"Gdpd5",55.81423,58.54108,58.66002,56.50678,44.34629,52.24728
"Aimp2",528.6194,548.1407,588.2651,493.0834,492.2208,483.355
"Sall4",819.3242,784.9902,796.2207,602.0241,641.6269,667.213
"Isca2",477.9447,519.0124,494.5563,549.6534,537.8627,521.6561
"Rbl1",623.4901,663.796,584.5084,669.772,756.0663,620.9381
"Ehd2",139.8419,158.9082,188.0353,141.2028,118.9762,138.7732
"Retreg3",295.4252,335.1867,354.6349,264.9922,247.26,281.9091
"Alg5",143.9445,133.8395,177.9815,141.1749,130.6126,123.1982
"Ddx27",245.4747,270.5278,230.8255,247.3002,237.1732,265.8014
"Trim29",9.544988,10.49651,7.340183,6.928079,10.66234,7.603042
"Rmnd5b",637.436,562.968,647.2094,625.3121,574.6566,682.038
"Mrpl50",207.4459,219.7973,235.7858,223.4476,211.5472,186.2752
"Sharpin",888.4056,782.1,722.8367,803.6469,716.2618,875.991
"Msh3",237.7287,243.4866,220.3538,251.6278,255.9172,261.5357
"Pmm1",142.1526,148.9472,186.8784,123.8435,108.8698,130.341
"Capzb",729.7272,755.0933,775.8766,791.5579,782.1053,795.8071
"Tax1bp3",107.5871,125.715,143.5785,112.6587,117.4917,95.10101
"Phf5a",558.5785,524.2275,554.0101,529.5789,524.591,506.7612
"Shkbp1",167.4049,171.9828,210.4603,146.6509,146.7591,172.8992
"Tef",376.4872,340.4385,369.048,344.0863,342.0625,334.9097
"Tmem38a",63.8343,68.60025,91.85339,59.5966,58.95321,54.19694
"Plekhj1",194.2472,226.7008,226.1454,215.7863,220.7817,212.7166
"Med24",151.148,151.0817,145.4622,187.9248,176.9444,191.6196
"Acat1",539.7471,595.0555,647.247,552.9399,517.1993,524.2166
"Acadvl",361.6708,394.3231,423.8744,331.6572,311.7157,335.1243
"Ccdc80",72.84892,80.14436,100.5778,87.73112,75.82557,83.93412
"Rabgap1",958.7383,919.3884,957.2802,895.4722,957.6872,895.9352
"Pigc",370.5415,408.7781,366.0237,458.5464,442.5716,434.457
"Tmem41a",326.7651,284.5489,382.084,221.9532,213.0872,254.3597
"Fam216a",1376.081,1331.849,1235,1410.055,1467.178,1373.517
"Pwp2",176.4738,172.765,160.8075,147.5245,163.8399,161.4237
"Rcsd1",109.0805,102.0014,125.2525,97.64639,71.91726,57.66131
"Yipf1",176.8707,176.6488,210.3131,190.036,168.3024,160.9789
"Fance",21.9759,17.49295,19.65794,23.88253,13.5071,20.25164
"Dlg5",172.2124,207.5476,208.9396,178.3813,140.7495,156.6785
"Ncln",94.38708,97.59457,91.91296,104.4309,95.72346,107.697
"Smarca5",850.9977,941.5814,793.9324,842.9207,903.0741,839.774
"Ptger4",117.6767,113.0608,106.3935,95.47334,79.2315,97.40579
"Rars2",454.6296,471.9882,436.8083,458.3988,469.4712,458.9682
"Erlin1",646.752,676.7676,601.2403,690.8636,741.2606,699.4951
"Slc25a33",340.2684,321.9923,307.4261,367.3049,327.7727,382.8528
"Atg101",85.81438,109.4186,115.1362,96.32661,109.0695,76.23184
"Ubiad1",134.8231,120.8921,122.0599,129.6944,119.6582,126.1215
"Parm1",117.0344,96.62972,140.0611,67.68765,87.46042,86.41918
"Fundc1",252.8542,267.9373,316.1915,247.6234,226.2067,245.9034
"Papola",503.8901,469.2447,454.1587,467.5884,446.8432,492.5107
"Creb3l4",47.45549,49.2472,71.0628,133.8671,92.75814,154.1015
"Mrm1",268.7603,264.3597,299.5189,217.642,181.3903,240.4712
"Porcn",151.5149,167.2502,228.5501,139.3033,103.2917,130.9129
"Susd4",17.15259,20.85057,20.36493,12.9876,13.18949,15.16799
"Rad23b",752.5504,735.9373,692.9049,791.8802,843.3176,785.9519
"Mtfp1",154.9691,152.7383,147.3484,161.0771,162.6539,172.9769
"Asb8",228.3747,196.1153,215.8838,207.4086,186.3777,221.2498
"Dglucy",26.32298,34.25211,41.37452,30.11133,22.68552,20.95553
"Polr3h",368.6486,349.3672,360.4521,341.4471,305.0843,368.2745
"Dyrk3",262.1158,255.5111,269.8563,470.5916,395.3768,496.1391
"Exoc6",87.75737,103.3235,106.2023,105.0959,92.49675,81.29718
"Meox2",3.86295,4.904841,2.71449,3.603003,2.309218,3.150605
"Ormdl2",571.3527,617.1659,581.0562,623.313,671.6962,589.2385
"Tbc1d10b",124.262,119.3293,126.9407,107.0723,99.07185,111.6153
"Zfp639",281.6422,280.6129,255.1343,264.2885,277.6008,265.0597
"Sirt7",269.8034,251.886,242.205,222.2241,218.4238,273.8058
"Ripor1",100.9756,95.75541,137.6373,77.86779,88.38925,98.78032
"Arfip2",129.7098,175.0843,174.6916,148.6547,141.495,168.9372
"Slc30a6",336.7415,334.7171,329.746,323.3352,332.0361,310.8235
"Bphl",184.7566,204.1923,225.8228,218.8538,202.5763,224.5402
"Rwdd4a",763.3651,795.0167,744.8329,693.0194,687.179,709.773
"Tes",55.14887,51.47619,54.05965,72.24632,58.39407,63.77931
"Arhgef3",106.9178,116.2526,123.0445,80.66263,81.31772,90.20747
"Hnrnpdl",1187.656,1188.278,1142.623,1135.815,1238.837,1117.386
"Fam114a2",660.6292,642.9039,596.3696,646.0881,624.0651,670.3052
"Ifitm1",216.3029,159.2843,147.5248,249.3884,199.1719,181.286
"Supt5",843.2014,769.6257,837.1353,762.9072,803.4711,825.5553
"Rdh12",11.32518,10.9058,14.8372,15.88733,14.82876,13.58426
"Polr2d",254.1179,287.7087,275.8128,325.7808,291.821,269.9125
"Lmf1",238.9404,236.8602,231.817,301.2177,292.8883,313.7969
"Slc12a1",4.566757,4.045878,1.596676,0.3671399,1.686648,2.96166
"Zfp672",557.8531,570.1051,492.2058,532.3577,584.9652,598.3523
"Med6",627.2429,571.17,610.9046,600.4796,599.7399,568.5749
"Npl",183.1832,236.0471,252.4941,185.1365,178.0462,202.0185
"Ces1f",0.5054589,0.523383,0.4744376,0.3460619,0.2720245,0.3168561
"Smox",213.5411,191.2543,222.7559,151.9923,151.3133,158.1488
"Dclk1",10.33611,18.88636,20.26884,17.917,14.13697,14.67727
"Cyp2c70",0.4480781,3.204938,5.823411,1.912218,0.246163,2.967619
"Uso1",496.2738,471.8593,511.7965,452.6021,425.9231,462.3309
"Trim41",773.5995,771.6654,685.0935,800.2277,760.7277,868.3577
"Snx16",61.89975,62.76196,75.5064,58.93971,55.11609,51.28165
"Haus7",418.3858,403.9366,557.0429,366.5164,368.6521,366.1198
"Birc5",1128.494,1015.042,990.1147,1051.81,1104.706,1040.985
"Fga",4.87715,1.75077,4.830044,13.25184,5.312276,4.120625
"Mospd1",156.4709,169.2556,209.8028,137.8942,143.8077,150.1866
"Ubap2",480.6088,459.2183,420.4567,439.1952,451.3037,521.3196
"Gatb",285.1873,299.9779,264.9597,299.0342,306.3443,320.1398
"Jtb",531.4599,466.1009,524.566,429.0742,393.2299,472.2863
"Pomt1",583.8077,572.4048,427.5504,565.1097,626.7896,623.804
"Arl6ip4",689.1207,691.5385,673.0354,670.9578,687.5121,646.8159
"Prkx",297.2267,274.4337,381.0872,233.8704,194.1021,248.5641
"Osgin2",350.9441,330.9911,314.7988,338.4539,339.9589,327.226
"Nup93",662.7047,638.3021,649.9262,604.5201,628.2323,625.3233
"Depdc1a",15.75089,14.39237,15.51117,13.84854,12.43159,12.58795
"Pip4p2",384.2454,384.3283,444.0453,353.8719,324.5042,375.0664
"Ppp4r1",492.8972,478.2732,480.7526,421.7466,436.5353,488.4963
"Dppa3",23.99349,38.5551,37.33898,16.43125,11.9262,15.32464
"Zfp282",54.87084,44.23248,52.46097,49.64037,43.67199,41.66561
"Oma1",133.3889,136.9282,152.817,106.3335,112.6241,120.0095
"Gemin6",226.5523,228.3283,212.2114,271.9836,241.7427,250.4629
"Zfp219",222.3107,213.4778,225.2949,167.6206,164.1796,183.6179
"Pirb",11.8678,11.85388,23.31612,14.57745,10.57513,14.96007
"Depdc7",59.44855,49.57123,55.63507,36.24743,41.12411,45.56394
"Tpcn2",65.79512,69.7499,68.59967,65.26868,60.18581,65.27697
"Jchain",59.24966,68.62842,61.10105,86.32018,65.60331,80.95713
"Slc24a3",215.281,236.4976,258.5325,188.5784,178.4754,236.3587
"Mocs2",708.6571,639.8618,704.8254,632.5101,627.3231,604.7827
"Naxd",436.4151,446.3507,445.6977,447.3474,469.2925,470.1411
"Ndufs7",818.8196,737.2407,861.5948,838.0909,783.7889,866.6064
"Prpf3",385.0734,362.9093,350.7962,321.3634,365.4443,327.7332
"Slc25a19",230.845,219.1142,194.9635,239.6152,251.1778,245.3218
"LTO1",278.0453,249.5872,272.8969,258.3004,234.2983,267.584
"Traf7",145.9574,146.0714,128.9922,118.0909,97.7704,142.0482
"Rfc4",720.0219,689.0853,661.6836,714.1306,716.4247,690.8582
"Apex2",20.71424,20.64581,28.19965,12.75485,16.01302,19.56706
"Noc2l",197.1907,189.7495,166.2461,152.0553,150.4627,138.8574
"Esco1",794.4403,864.7626,745.5541,806.154,880.9083,818.3745
"Lemd2",208.6904,196.0345,230.4832,211.4207,176.5176,248.865
"Anapc15",646.5405,652.7321,674.498,660.6966,668.9512,654.0377
"Prrg2",110.5182,110.2911,116.2257,120.4687,107.7288,124.5713
"Senp1",215.5442,224.6286,195.9801,239.5826,250.5733,234.6804
"Rab40c",192.2856,165.4734,217.8755,164.7121,143.3872,221.2671
"Trmt10c",161.6428,150.4499,166.4093,174.412,133.2985,159.368
"Ppcdc",280.8811,239.3263,243.0288,252.4492,282.589,252.1084
"Snx15",126.6586,129.3009,123.2587,127.9968,115.078,121.6093
"Slc6a13",10.86477,13.66312,10.48576,11.75087,12.11314,10.66276
"Oasl1",5.823654,5.640253,6.124719,3.813352,5.186887,6.297999
"Drc3",416.8192,441.9204,316.9178,514.6187,558.6078,552.3948
"Eif1a",697.3195,679.7061,633.8578,708.4301,760.222,722.9384
"Ube2m",712.3986,712.6478,671.9099,779.2227,741.8954,740.6786
"Ppp6c",791.7697,812.5575,777.1856,805.3923,806.7804,797.9273
"Mcmbp",205.7703,233.2881,253.7316,191.5871,177.6206,186.4341
"Wfdc2",13.69235,22.92185,8.109032,23.4043,22.56905,20.74074
"Cyp4a12a",0.2412863,0.1163236,0.1171196,0.276278,0.9911512,0.1268217
"Lrpprc",344.4652,362.2164,385.6171,340.7044,346.8324,359.5102
"Tmem140",29.33368,28.67668,40.40532,25.20702,26.16213,30.64065
"Metrnl",17.53072,20.38733,28.29939,17.69335,13.69906,16.56875
