"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Dlx1as",2.731238,0.8075786,0.6134397,0.6910973,0.6311733,0.241317
"Slc4a8",110.6295,97.0913,75.96489,114.5552,116.8075,107.8573
"Ankhd1",264.2286,308.4539,276.6054,292.6124,332.1994,285.0149
"Hdlbp",788.2134,809.531,731.5125,820.3741,850.6909,897.181
"Csf1r",283.6497,317.0426,516.1437,258.7813,202.4462,331.2871
"Zbtb16",285.2163,321.196,291.3834,145.5733,155.3023,159.9755
"2810449G22Rik",22.81429,15.88262,7.480638,25.15011,19.54278,31.46806
"Trim25",229.7755,246.1007,304.6254,223.4109,198.5839,225.351
"DXErtd223e",35.53475,36.08064,40.48291,49.04072,45.23088,33.88338
"D930048N14Rik",0.587916,0.2480326,0.6496722,0.7233028,0.1200454,0.8707728
"Gm6787",1000.389,1008.142,701.9687,811.3231,987.1511,965.0206
"AA536748",1.103774,0.1872005,0.8772569,0.2719016,1.691462,0.912687
"Tet1",10.05813,12.1121,11.76793,12.96972,14.2299,8.07584
"Zc3h7a",694.5349,658.0148,617.1472,662.7889,676.169,586.1249
"Hpgd",203.0302,269.2563,415.6351,204.3371,152.5011,232.4972
"Mphosph9",963.3906,881.9493,910.8361,920.6759,921.749,934.8394
"Coro1c",607.8153,637.6164,643.7869,555.4952,569.5063,545.4454
"Nus1",546.0524,497.9758,547.3659,481.2352,456.6187,492.9638
"Tmed7",838.8483,841.4465,829.1694,796.0018,883.2914,810.429
"Usp7",1210.343,1151.066,1080.558,1067.476,1142.938,1132.187
"D15Ertd55e",10.80488,12.29799,12.57992,12.32379,11.70881,6.493997
"Abcb7",203.3984,199.9671,221.7447,185.7946,178.6244,190.4397
"Gpr137b",44.05046,48.7967,56.43564,43.84385,54.78179,45.21559
"C030018P15Rik",6.738016,11.15799,7.895787,10.60036,10.63487,8.56502
"Ccnb1",465.4546,409.5547,514.7562,590.1249,522.2786,526.1127
"Rab2a",1469.461,1436.2,1397.012,1414.703,1511.032,1434.625
"Lman1",316.2429,317.4277,413.722,296.9326,186.7042,294.2462
"C77144",2.920429,0.8133831,1.061969,0.2088996,1.290974,0.8085065
"Cphx3",31.31387,32.45772,29.17709,26.61369,20.73036,14.91335
"Seh1l",826.3566,802.8774,851.2917,840.3937,808.9957,800.4515
"Nexmif",16.85199,35.38929,31.33412,29.61836,28.55702,27.95804
"Slc35a5",449.8465,421.5944,363.711,399.8579,414.4219,398.8078
"Nfatc3",513.6727,621.5199,552.1009,544.0181,608.6638,552.317
"Arhgef25",319.3236,376.8652,422.2261,307.6154,316.2804,348.4958
"Creb3",1070.962,947.7166,1037.685,982.4242,991.7623,1037.274
"Map3k7",690.1049,662.4976,701.8248,649.7101,659.3224,686.4535
"Commd5",209.2965,208.2373,215.0483,214.0647,184.78,206.2902
"Rab3il1",101.9278,104.6048,134.5532,121.685,87.78235,127.4268
"Mfn1",712.3402,721.7613,660.4622,678.2474,698.348,729.8862
"Igbp1",373.3844,364.0506,432.584,300.5452,300.9806,308.0115
"D7Ertd1e",5.651287,5.415319,6.327395,6.770454,9.518401,6.732802
"Nsun5",567.7237,560.814,522.9208,530.5246,572.5574,558.4738
"Wwc1",121.0275,106.6345,133.2634,102.7899,98.84466,102.3402
"Lss",173.7646,160.1009,190.2873,167.8671,164.1407,199.8291
"Suz12",678.9727,624.9199,602.7784,607.0237,673.1871,632.014
"Mcm3",399.0769,427.9494,397.3195,349.3409,333.1972,388.4901
"Ppp2r2d",549.7637,504.6194,566.1993,626.8588,596.6756,623.4833
"Atp5a1",1596.979,1497.573,1525.2,1470.576,1507.154,1576.586
"Maf1",765.1353,754.8223,756.1608,765.5438,728.8024,824.1747
"C78859",26.43313,36.85367,25.21301,31.05718,32.08544,33.50597
"Slc35c2",185.4658,172.8639,199.6517,194.7328,183.5035,167.8027
"Jmjd6",511.0688,487.2672,463.4318,490.8375,439.3401,491.3037
"AA675344",22.5587,21.72613,23.21251,31.94252,27.71384,25.13732
"Tktl1",450.2225,376.6348,467.6385,418.1036,388.4533,420.0794
"Cd160",5.583344,7.939777,9.159664,8.182761,7.766551,9.452339
"Nfkbia",926.1584,855.7963,953.9801,830.6713,841.1341,848.7631
"Raf1",322.2659,320.4573,330.5869,343.9247,327.033,327.9655
"Morc3",712.165,693.1577,588.1617,648.6566,738.2484,662.59
"Zscan21",634.6224,588.5728,508.3331,705.673,661.6775,739.1922
"Rexo5",14.77845,15.91118,8.667257,12.87291,13.46999,25.21582
"D13Ertd205e",0.08650086,0.09047034,0.07531585,0.2844785,0.2886959,0.08673343
"Siah1a",545.0521,573.5847,518.4539,583.0396,605.3635,536.8915
"Zfp334",144.3316,123.1186,145.6191,102.0893,105.4035,112.8018
"Coprs",1229.281,1201.504,1132.605,1273.401,1288.212,1283.285
"Galm",77.787,85.32944,129.8134,166.6042,129.9652,180.4532
"AA517858",0.9559821,0.1959371,1.384096,1.494165,0.3253793,0.3226708
"Tcta",624.6518,534.692,570.7043,583.1749,506.7241,613.2963
"Rtcb",731.8523,748.1053,770.0685,714.4176,700.672,756.5502
"Pttg1ip",1211.146,1132.55,1227.134,1102.086,1113.481,1179.468
"AA407331",94.42552,96.47826,101.7924,94.73609,88.54978,77.67116
"AA408954",4.471182,5.042474,4.530977,1.937604,5.579569,1.466133
"Abcf1",595.9501,604.1844,601.9084,578.2812,492.4352,682.3451
"Myo1e",5.847961,7.752882,9.078559,5.645478,8.793829,6.701502
"AA409749",44.75895,58.40367,61.39235,54.43109,63.27648,47.91895
"AA511261",6.225911,9.374372,5.031305,5.352439,7.059262,3.395394
"D7Ertd183e",134.2693,173.569,188.4057,165.6052,195.6052,139.4745
"Dnajc17",97.79112,113.0597,92.46294,102.5136,101.9062,101.9942
"AA517841",1.632422,0.742753,1.229134,1.20311,0.5535063,0.6149318
"Myh9",659.0263,652.2399,722.1747,597.0244,549.3422,628.9595
"Igll1",5.565432,12.69087,10.69213,6.846225,8.594503,9.510907
"Lor",6.3904,9.24464,8.318092,7.474236,7.856998,5.972865
"C76628",5.144304,7.839433,6.078186,8.330092,13.09767,7.717053
"Tmem191c",44.74302,46.39236,57.94652,42.75384,32.30032,68.8311
"Tbc1d14",598.5475,599.5657,565.3369,567.6833,632.1865,629.9877
"AA414993",40.21336,36.2024,37.37612,42.02287,44.14229,40.82676
"D2Ertd63e",25.12543,33.7027,24.01166,25.90576,40.03005,28.76404
"Prph",5.687366,6.919528,6.774795,6.92918,4.458741,7.840206
"1700073E17Rik",11.61197,1.961148,25.08943,51.60029,32.11547,68.67684
"Phf7",1783.288,1702.976,1690.848,1818.724,1865.373,1795.623
"Prss58",88.29958,78.35656,54.24686,106.5569,85.24382,116.9355
"AA414903",7.77152,9.110505,4.788241,7.15503,8.079037,7.299217
"Pitpnb",152.5377,167.6651,162.5749,172.1819,170.4884,153.0702
"Cramp1l",691.2431,743.512,649.3774,703.8198,746.2429,740.4662
"Rep15",28.48688,34.02194,33.66205,27.37071,30.77586,31.30733
"Timmdc1",230.814,220.2285,199.8286,203.6367,199.2042,209.0242
"Clec4e",2.165308,1.597675,1.690619,1.699752,1.182775,1.936711
"Lce1d",3.801637,4.025748,3.219471,1.072778,1.03765,3.515894
"Txndc8",11.45107,5.188769,30.89991,144.8385,50.63841,224.7053
"Slc12a8",14.94308,14.7461,11.26083,15.64279,8.231901,16.31066
"Dmc1",597.2086,648.7372,592.1683,586.1733,625.0014,551.9196
"Adamtsl5",11.05764,4.97555,6.665216,7.455958,8.573154,7.74173
"Gbx2",0.9071415,0.8512682,2.228731,0.5413609,0.5352643,1.555359
"Alox15",13.34356,8.53981,13.65006,20.75003,16.51787,15.0249
"Tmco5",11.57461,10.58718,28.46346,132.5835,58.3199,163.9391
"Gdap10",70.30968,81.56664,82.57185,52.85944,59.61288,66.74657
"Gzmd",0.01221231,0.1923901,0.03523348,0.006220063,0.03049692,0.008417433
"Cldn14",9.878252,9.886713,10.02127,10.19093,6.393354,12.96258
"Asb12",7.56005,9.607034,9.349079,9.418844,8.358364,11.9925
"Bpifa1",0.3171235,0.6443807,2.203193,1.914235,1.407649,1.594439
"Lhx5",6.324512,3.991373,10.12742,5.406081,4.628122,2.907857
"Lce1a2",1.678976,0.4849807,0.7961404,1.66628,2.970568,1.193806
"Tnfrsf4",38.50328,41.62635,37.97703,37.80243,34.75254,45.15606
"Prss22",1.008923,2.414445,4.658999,0.9956829,4.874416,1.313628
"Lta",0.6228035,2.135994,3.541331,4.883006,4.982728,0.9236628
"Cnnm1",0.5406733,2.336782,5.29583,4.222725,2.861964,1.078382
"Grk4",463.9886,460.1432,385.6331,581.8622,548.0226,599.7731
"Ninj2",4.684712,2.941369,9.1029,3.485955,4.550714,4.991759
"Krtap13",3.101188,4.369409,3.258848,1.339458,2.153302,4.660117
"Sva",1.82666,0.4340815,0.9043411,0.6451415,0.3305539,0.3000357
"Dkk1",7.620797,8.10737,6.138602,7.276622,3.91457,5.135216
"Slc11a1",33.00121,33.71129,54.93213,34.03114,35.71206,32.06731
"Bik",172.4681,189.238,204.4073,170.7318,194.3784,169.8046
"Gpr87",4.488879,8.258157,8.268493,5.236104,6.074053,6.837234
"Hnrnpa2b1",1437.117,1382.116,1280.342,1293.665,1472.218,1351.665
"Spesp1",636.1807,577.5312,593.4976,866.0973,889.5882,817.5239
"Denr",764.1799,723.5484,734.7343,697.874,703.324,701.6625
"Csn2",0.3151512,2.220416,4.329391,1.356417,1.841333,1.673751
"Foxj2",231.6321,228.1012,226.5916,221.7009,218.4842,206.5146
"St8sia2",307.0135,333.9921,425.3027,248.5497,265.5846,343.5468
"Sftpd",0.2855964,1.949919,1.081806,1.457188,0.3193184,1.649045
"Slco1a1",0.620263,2.284199,2.260869,1.929664,1.544975,0.4968252
"Ccl2",13.28422,14.82981,10.62486,7.105138,12.12169,9.577363
